Run,Task,Operation,Time,Unit,Percentage,Run type
short_S1,99.9th percentile service time,cheap-pickup,11.8135,ms,S1,short
short_S1,99.99th percentile service time,cheap-pickup,19.5457,ms,S1,short
short_S1,100th percentile service time,cheap-pickup,23.1129,ms,S1,short
short_S1,error rate,cheap-pickup,0,%,S1,short
short_S1,Min Throughput,cheap-dropoff,6,ops/s,S1,short
short_S1,Mean Throughput,cheap-dropoff,6,ops/s,S1,short
short_S1,Median Throughput,cheap-dropoff,6,ops/s,S1,short
short_S1,Max Throughput,cheap-dropoff,6,ops/s,S1,short
short_S1,0th percentile throughput,cheap-dropoff,5.99993,ms,S1,short
short_S1,25th percentile throughput,cheap-dropoff,5.99999,ms,S1,short
short_S1,50th percentile throughput,cheap-dropoff,6,ms,S1,short
short_S1,75th percentile throughput,cheap-dropoff,6,ms,S1,short
short_S1,100th percentile throughput,cheap-dropoff,6,ms,S1,short
short_S1,0th percentile latency,cheap-dropoff,3.74744,ms,S1,short
short_S1,10th percentile latency,cheap-dropoff,5.40805,ms,S1,short
short_S1,20th percentile latency,cheap-dropoff,5.67989,ms,S1,short
short_S1,25th percentile latency,cheap-dropoff,5.79572,ms,S1,short
short_S1,30th percentile latency,cheap-dropoff,5.90144,ms,S1,short
short_S1,40th percentile latency,cheap-dropoff,6.10753,ms,S1,short
short_S1,50th percentile latency,cheap-dropoff,6.33882,ms,S1,short
short_S1,60th percentile latency,cheap-dropoff,6.68013,ms,S1,short
short_S1,70th percentile latency,cheap-dropoff,7.37247,ms,S1,short
short_S1,75th percentile latency,cheap-dropoff,7.81613,ms,S1,short
short_S1,80th percentile latency,cheap-dropoff,8.25245,ms,S1,short
short_S1,90th percentile latency,cheap-dropoff,8.93629,ms,S1,short
short_S1,99th percentile latency,cheap-dropoff,11.0357,ms,S1,short
short_S1,99.9th percentile latency,cheap-dropoff,13.5354,ms,S1,short
short_S1,99.99th percentile latency,cheap-dropoff,22.394,ms,S1,short
short_S1,100th percentile latency,cheap-dropoff,24.6153,ms,S1,short
short_S1,50th percentile service time,cheap-dropoff,5.20223,ms,S1,short
short_S1,90th percentile service time,cheap-dropoff,7.90233,ms,S1,short
short_S1,99th percentile service time,cheap-dropoff,10.018,ms,S1,short
short_S1,99.9th percentile service time,cheap-dropoff,12.3082,ms,S1,short
short_S1,99.99th percentile service time,cheap-dropoff,21.0528,ms,S1,short
short_S1,100th percentile service time,cheap-dropoff,23.7376,ms,S1,short
short_S1,error rate,cheap-dropoff,0,%,S1,short
short_S1,Min Throughput,autohisto-agg,1.5,ops/s,S1,short
short_S1,Mean Throughput,autohisto-agg,1.5,ops/s,S1,short
short_S1,Median Throughput,autohisto-agg,1.5,ops/s,S1,short
short_S1,Max Throughput,autohisto-agg,1.5,ops/s,S1,short
short_S1,0th percentile throughput,autohisto-agg,1.50013,ms,S1,short
short_S1,25th percentile throughput,autohisto-agg,1.50018,ms,S1,short
short_S1,50th percentile throughput,autohisto-agg,1.50026,ms,S1,short
short_S1,75th percentile throughput,autohisto-agg,1.50048,ms,S1,short
short_S1,100th percentile throughput,autohisto-agg,1.50368,ms,S1,short
short_S1,0th percentile latency,autohisto-agg,7.67734,ms,S1,short
short_S1,10th percentile latency,autohisto-agg,24.9873,ms,S1,short
short_S1,20th percentile latency,autohisto-agg,34.5287,ms,S1,short
short_S1,25th percentile latency,autohisto-agg,38.5919,ms,S1,short
short_S1,30th percentile latency,autohisto-agg,42.4078,ms,S1,short
short_S1,40th percentile latency,autohisto-agg,53.2047,ms,S1,short
short_S1,50th percentile latency,autohisto-agg,67.8194,ms,S1,short
short_S1,60th percentile latency,autohisto-agg,85.1092,ms,S1,short
short_S1,70th percentile latency,autohisto-agg,107.289,ms,S1,short
short_S1,75th percentile latency,autohisto-agg,121.135,ms,S1,short
short_S1,80th percentile latency,autohisto-agg,136.512,ms,S1,short
short_S1,90th percentile latency,autohisto-agg,175.504,ms,S1,short
short_S1,99th percentile latency,autohisto-agg,230.725,ms,S1,short
short_S1,99.9th percentile latency,autohisto-agg,258.734,ms,S1,short
short_S1,100th percentile latency,autohisto-agg,265.567,ms,S1,short
short_S1,50th percentile service time,autohisto-agg,66.2713,ms,S1,short
short_S1,90th percentile service time,autohisto-agg,173.984,ms,S1,short
short_S1,99th percentile service time,autohisto-agg,228.851,ms,S1,short
short_S1,99.9th percentile service time,autohisto-agg,257.216,ms,S1,short
short_S1,100th percentile service time,autohisto-agg,264.353,ms,S1,short
short_S1,error rate,autohisto-agg,0,%,S1,short
short_S1,Min Throughput,date-histogram-agg,1.5,ops/s,S1,short
short_S1,Mean Throughput,date-histogram-agg,1.5,ops/s,S1,short
short_S1,Median Throughput,date-histogram-agg,1.5,ops/s,S1,short
short_S1,Max Throughput,date-histogram-agg,1.5,ops/s,S1,short
short_S1,0th percentile throughput,date-histogram-agg,1.50013,ms,S1,short
short_S1,25th percentile throughput,date-histogram-agg,1.50017,ms,S1,short
short_S1,50th percentile throughput,date-histogram-agg,1.50025,ms,S1,short
short_S1,75th percentile throughput,date-histogram-agg,1.50047,ms,S1,short
short_S1,100th percentile throughput,date-histogram-agg,1.50362,ms,S1,short
short_S1,0th percentile latency,date-histogram-agg,6.77055,ms,S1,short
short_S1,10th percentile latency,date-histogram-agg,12.3076,ms,S1,short
short_S1,20th percentile latency,date-histogram-agg,14.5559,ms,S1,short
short_S1,25th percentile latency,date-histogram-agg,15.5135,ms,S1,short
short_S1,30th percentile latency,date-histogram-agg,16.5528,ms,S1,short
short_S1,40th percentile latency,date-histogram-agg,18.9775,ms,S1,short
short_S1,50th percentile latency,date-histogram-agg,21.2341,ms,S1,short
short_S1,60th percentile latency,date-histogram-agg,24.2228,ms,S1,short
short_S1,70th percentile latency,date-histogram-agg,27.3831,ms,S1,short
short_S1,75th percentile latency,date-histogram-agg,29.5171,ms,S1,short
short_S1,80th percentile latency,date-histogram-agg,32.2445,ms,S1,short
short_S1,90th percentile latency,date-histogram-agg,40.2656,ms,S1,short
short_S1,99th percentile latency,date-histogram-agg,65.214,ms,S1,short
short_S1,99.9th percentile latency,date-histogram-agg,76.4052,ms,S1,short
short_S1,100th percentile latency,date-histogram-agg,80.2861,ms,S1,short
short_S1,50th percentile service time,date-histogram-agg,19.7146,ms,S1,short
short_S1,90th percentile service time,date-histogram-agg,38.8321,ms,S1,short
short_S1,99th percentile service time,date-histogram-agg,63.7613,ms,S1,short
short_S1,99.9th percentile service time,date-histogram-agg,74.7111,ms,S1,short
short_S1,100th percentile service time,date-histogram-agg,78.3398,ms,S1,short
short_S1,error rate,date-histogram-agg,0,%,S1,short
short_S1,Min Throughput,date-histogram-calendar-interval,1.5,ops/s,S1,short
short_S1,Mean Throughput,date-histogram-calendar-interval,1.5,ops/s,S1,short
short_S1,Median Throughput,date-histogram-calendar-interval,1.5,ops/s,S1,short
short_S1,Max Throughput,date-histogram-calendar-interval,1.5,ops/s,S1,short
short_S1,0th percentile throughput,date-histogram-calendar-interval,1.50013,ms,S1,short
short_S1,25th percentile throughput,date-histogram-calendar-interval,1.50018,ms,S1,short
short_S1,50th percentile throughput,date-histogram-calendar-interval,1.50026,ms,S1,short
short_S1,75th percentile throughput,date-histogram-calendar-interval,1.50048,ms,S1,short
short_S1,100th percentile throughput,date-histogram-calendar-interval,1.5037,ms,S1,short
short_S1,0th percentile latency,date-histogram-calendar-interval,6.45958,ms,S1,short
short_S1,10th percentile latency,date-histogram-calendar-interval,11.1644,ms,S1,short
short_S1,20th percentile latency,date-histogram-calendar-interval,11.8031,ms,S1,short
short_S1,25th percentile latency,date-histogram-calendar-interval,12.0827,ms,S1,short
short_S1,30th percentile latency,date-histogram-calendar-interval,12.3805,ms,S1,short
short_S1,40th percentile latency,date-histogram-calendar-interval,13.2711,ms,S1,short
short_S1,50th percentile latency,date-histogram-calendar-interval,14.3478,ms,S1,short
short_S1,60th percentile latency,date-histogram-calendar-interval,16.191,ms,S1,short
short_S1,70th percentile latency,date-histogram-calendar-interval,17.5251,ms,S1,short
short_S1,75th percentile latency,date-histogram-calendar-interval,17.9249,ms,S1,short
short_S1,80th percentile latency,date-histogram-calendar-interval,18.2554,ms,S1,short
short_S1,90th percentile latency,date-histogram-calendar-interval,18.9104,ms,S1,short
short_S1,99th percentile latency,date-histogram-calendar-interval,21.5041,ms,S1,short
short_S1,99.9th percentile latency,date-histogram-calendar-interval,25.5036,ms,S1,short
short_S1,100th percentile latency,date-histogram-calendar-interval,31.4868,ms,S1,short
short_S1,50th percentile service time,date-histogram-calendar-interval,12.7983,ms,S1,short
short_S1,90th percentile service time,date-histogram-calendar-interval,17.3082,ms,S1,short
short_S1,99th percentile service time,date-histogram-calendar-interval,19.9584,ms,S1,short
short_S1,99.9th percentile service time,date-histogram-calendar-interval,23.9114,ms,S1,short
short_S1,100th percentile service time,date-histogram-calendar-interval,29.6289,ms,S1,short
short_S1,error rate,date-histogram-calendar-interval,0,%,S1,short
short_S1,Min Throughput,date-histogram-calendar-interval-with-tz,1.44,ops/s,S1,short
short_S1,Mean Throughput,date-histogram-calendar-interval-with-tz,1.49,ops/s,S1,short
short_S1,Median Throughput,date-histogram-calendar-interval-with-tz,1.5,ops/s,S1,short
short_S1,Max Throughput,date-histogram-calendar-interval-with-tz,1.5,ops/s,S1,short
short_S1,0th percentile throughput,date-histogram-calendar-interval-with-tz,1.44153,ms,S1,short
short_S1,25th percentile throughput,date-histogram-calendar-interval-with-tz,1.49198,ms,S1,short
short_S1,50th percentile throughput,date-histogram-calendar-interval-with-tz,1.49569,ms,S1,short
short_S1,75th percentile throughput,date-histogram-calendar-interval-with-tz,1.49707,ms,S1,short
short_S1,100th percentile throughput,date-histogram-calendar-interval-with-tz,1.49779,ms,S1,short
short_S1,0th percentile latency,date-histogram-calendar-interval-with-tz,9.6321,ms,S1,short
short_S1,10th percentile latency,date-histogram-calendar-interval-with-tz,61.4998,ms,S1,short
short_S1,20th percentile latency,date-histogram-calendar-interval-with-tz,116.489,ms,S1,short
short_S1,25th percentile latency,date-histogram-calendar-interval-with-tz,147.538,ms,S1,short
short_S1,30th percentile latency,date-histogram-calendar-interval-with-tz,186.58,ms,S1,short
short_S1,40th percentile latency,date-histogram-calendar-interval-with-tz,262.453,ms,S1,short
short_S1,50th percentile latency,date-histogram-calendar-interval-with-tz,350.409,ms,S1,short
short_S1,60th percentile latency,date-histogram-calendar-interval-with-tz,443.132,ms,S1,short
short_S1,70th percentile latency,date-histogram-calendar-interval-with-tz,555.86,ms,S1,short
short_S1,75th percentile latency,date-histogram-calendar-interval-with-tz,622.546,ms,S1,short
short_S1,80th percentile latency,date-histogram-calendar-interval-with-tz,702.885,ms,S1,short
short_S1,90th percentile latency,date-histogram-calendar-interval-with-tz,883.146,ms,S1,short
short_S1,99th percentile latency,date-histogram-calendar-interval-with-tz,1240.09,ms,S1,short
short_S1,99.9th percentile latency,date-histogram-calendar-interval-with-tz,1536.96,ms,S1,short
short_S1,100th percentile latency,date-histogram-calendar-interval-with-tz,1834.16,ms,S1,short
short_S1,50th percentile service time,date-histogram-calendar-interval-with-tz,292.947,ms,S1,short
