|                                    100th percentile throughput |                       date-histogram-agg |     1.50359 |     ms |
|                                         0th percentile latency |                       date-histogram-agg |     3.03667 |     ms |
|                                        10th percentile latency |                       date-histogram-agg |     4.63908 |     ms |
|                                        20th percentile latency |                       date-histogram-agg |     12.5975 |     ms |
|                                        25th percentile latency |                       date-histogram-agg |     13.6239 |     ms |
|                                        30th percentile latency |                       date-histogram-agg |     14.7583 |     ms |
|                                        40th percentile latency |                       date-histogram-agg |     16.6818 |     ms |
|                                        50th percentile latency |                       date-histogram-agg |     19.1416 |     ms |
|                                        60th percentile latency |                       date-histogram-agg |     21.5035 |     ms |
|                                        70th percentile latency |                       date-histogram-agg |     24.8024 |     ms |
|                                        75th percentile latency |                       date-histogram-agg |     26.6116 |     ms |
|                                        80th percentile latency |                       date-histogram-agg |     28.7008 |     ms |
|                                        90th percentile latency |                       date-histogram-agg |     35.0638 |     ms |
|                                        99th percentile latency |                       date-histogram-agg |     57.3662 |     ms |
|                                      99.9th percentile latency |                       date-histogram-agg |     68.1644 |     ms |
|                                       100th percentile latency |                       date-histogram-agg |     73.8157 |     ms |
|                                   50th percentile service time |                       date-histogram-agg |     17.5932 |     ms |
|                                   90th percentile service time |                       date-histogram-agg |     33.4815 |     ms |
|                                   99th percentile service time |                       date-histogram-agg |     55.8016 |     ms |
|                                 99.9th percentile service time |                       date-histogram-agg |     66.7213 |     ms |
|                                  100th percentile service time |                       date-histogram-agg |     72.0905 |     ms |
|                                                     error rate |                       date-histogram-agg |           0 |      % |
|                                                 Min Throughput |         date-histogram-calendar-interval |         1.5 |  ops/s |
|                                                Mean Throughput |         date-histogram-calendar-interval |         1.5 |  ops/s |
|                                              Median Throughput |         date-histogram-calendar-interval |         1.5 |  ops/s |
|                                                 Max Throughput |         date-histogram-calendar-interval |         1.5 |  ops/s |
|                                      0th percentile throughput |         date-histogram-calendar-interval |     1.50013 |     ms |
|                                     25th percentile throughput |         date-histogram-calendar-interval |     1.50017 |     ms |
|                                     50th percentile throughput |         date-histogram-calendar-interval |     1.50025 |     ms |
|                                     75th percentile throughput |         date-histogram-calendar-interval |     1.50047 |     ms |
|                                    100th percentile throughput |         date-histogram-calendar-interval |      1.5036 |     ms |
|                                         0th percentile latency |         date-histogram-calendar-interval |     2.92232 |     ms |
|                                        10th percentile latency |         date-histogram-calendar-interval |     4.26461 |     ms |
|                                        20th percentile latency |         date-histogram-calendar-interval |     11.0408 |     ms |
|                                        25th percentile latency |         date-histogram-calendar-interval |     11.3033 |     ms |
|                                        30th percentile latency |         date-histogram-calendar-interval |     11.5755 |     ms |
|                                        40th percentile latency |         date-histogram-calendar-interval |     12.3865 |     ms |
|                                        50th percentile latency |         date-histogram-calendar-interval |     13.5075 |     ms |
|                                        60th percentile latency |         date-histogram-calendar-interval |     14.4089 |     ms |
|                                        70th percentile latency |         date-histogram-calendar-interval |     16.3582 |     ms |
|                                        75th percentile latency |         date-histogram-calendar-interval |     16.8815 |     ms |
|                                        80th percentile latency |         date-histogram-calendar-interval |     17.3125 |     ms |
|                                        90th percentile latency |         date-histogram-calendar-interval |     18.0573 |     ms |
|                                        99th percentile latency |         date-histogram-calendar-interval |     19.6937 |     ms |
|                                      99.9th percentile latency |         date-histogram-calendar-interval |     22.7438 |     ms |
|                                       100th percentile latency |         date-histogram-calendar-interval |     143.067 |     ms |
|                                   50th percentile service time |         date-histogram-calendar-interval |     11.9616 |     ms |
|                                   90th percentile service time |         date-histogram-calendar-interval |     16.5176 |     ms |
|                                   99th percentile service time |         date-histogram-calendar-interval |     18.0719 |     ms |
|                                 99.9th percentile service time |         date-histogram-calendar-interval |      20.995 |     ms |
|                                  100th percentile service time |         date-histogram-calendar-interval |      141.26 |     ms |
|                                                     error rate |         date-histogram-calendar-interval |           0 |      % |
|                                                 Min Throughput | date-histogram-calendar-interval-with-tz |        1.47 |  ops/s |
|                                                Mean Throughput | date-histogram-calendar-interval-with-tz |         1.5 |  ops/s |
|                                              Median Throughput | date-histogram-calendar-interval-with-tz |         1.5 |  ops/s |
|                                                 Max Throughput | date-histogram-calendar-interval-with-tz |         1.5 |  ops/s |
|                                      0th percentile throughput | date-histogram-calendar-interval-with-tz |     1.47303 |     ms |
|                                     25th percentile throughput | date-histogram-calendar-interval-with-tz |     1.49643 |     ms |
|                                     50th percentile throughput | date-histogram-calendar-interval-with-tz |     1.49808 |     ms |
|                                     75th percentile throughput | date-histogram-calendar-interval-with-tz |     1.49869 |     ms |
|                                    100th percentile throughput | date-histogram-calendar-interval-with-tz |     1.49902 |     ms |
|                                         0th percentile latency | date-histogram-calendar-interval-with-tz |     2.66801 |     ms |
|                                        10th percentile latency | date-histogram-calendar-interval-with-tz |     19.1022 |     ms |
|                                        20th percentile latency | date-histogram-calendar-interval-with-tz |     72.8384 |     ms |
|                                        25th percentile latency | date-histogram-calendar-interval-with-tz |     101.526 |     ms |
|                                        30th percentile latency | date-histogram-calendar-interval-with-tz |     131.457 |     ms |
|                                        40th percentile latency | date-histogram-calendar-interval-with-tz |     201.679 |     ms |
